Original_Index,SA2,Price,Z-Score,SA2_Mean,SA2_Std,Deviation_From_Mean,Address,Suburb,Bedrooms,Bathrooms,Floor_Area,Land_Area
19143,Beechboro,2125000,12.085790405259361,458435.7044025157,137894.5223865745,1666564.2955974843,35 Cheltenham Street,Bennett Springs,3,2,180,27323
26020,Forrestfield - Wattle Grove,2041720,10.91497413424844,473601.65497630334,143666.70280081895,1568118.3450236968,57 Coldwell Road,Kenwick,3,1,121,12810
6196,Mindarie - Quinns Rocks - Jindalee,2400000,10.118082557211167,469936.92954363493,190753.83695903997,1930063.0704563651,15 Clarecastle Retreat,Mindarie,5,4,387,1178
9466,Forrestfield - Wattle Grove,1800000,9.23246875695776,473601.65497630334,143666.70280081895,1326398.3450236968,19 Crystal Place,Wattle Grove,5,2,575,11744
5674,Wanneroo - Sinagra,1650000,9.220812595261464,518958.41985723557,122661.81190191435,1131041.5801427644,14 Stafford Way,Wanneroo,4,2,216,11280
26811,Rockingham Lakes,1350000,8.526322342114534,326341.1417721519,120058.66270990406,1023658.8582278481,6 Florence Street,Rockingham,5,3,333,375
20204,Kalamunda - Maida Vale - Gooseberry Hill,2150000,8.0760872201413,479757.75092421443,206813.29999882824,1670242.2490757855,39 Abraham Close,Baskerville,4,4,370,40033
30701,Wanneroo - Sinagra,1495000,7.957175627922806,518958.41985723557,122661.81190191435,976041.5801427644,8 Calophylla Court,Wanneroo,4,2,375,4000
13826,Murdoch - Kardinya,2200000,7.844421685906594,589506.6455399061,205304.28104770687,1610493.354460094,24/21 Ocean Drive,North Coogee,4,3,375,18248
10445,Mindarie - Quinns Rocks - Jindalee,1930000,7.654174058736655,469936.92954363493,190753.83695903997,1460063.0704563651,2 Kings Lynn Rise,Mindarie,4,2,349,700
22189,Maddington - Orange Grove - Martin,2200000,7.579867961846564,462390.1898527005,229240.1159088255,1737609.8101472994,42 Hayward Road,Martin,6,3,482,10003
15267,Piara Waters - Forrestdale,2172500,7.3612774515759165,469187.012718601,231388.23369804525,1703312.987281399,272 Streich Avenue,Armadale,3,1,120,693
